customer_id,registration_date,country,acquisition_channel
C0001,2022-07-03,Germany,Mobile App
C0002,2022-07-28,Germany,Website
C0003,2022-04-13,Austria,Email Campaign
C0004,2022-08-02,Germany,Email Campaign
C0005,2021-02-10,Germany,Website
C0006,2023-10-05,Germany,Website
C0007,2022-12-14,Germany,Mobile App
C0008,2021-01-28,Germany,Website
C0009,2022-11-23,Germany,Website
C0010,2023-04-06,Germany,Email Campaign
C0011,2022-06-17,Switzerland,Website
C0012,2022-10-09,Germany,Mobile App
C0013,2023-07-08,Germany,Mobile App
C0014,2021-06-19,Switzerland,Mobile App
C0015,2023-06-29,Germany,Mobile App
C0016,2022-09-24,Germany,Website
C0017,2023-06-06,Germany,Email Campaign
C0018,2021-05-02,Germany,Website
C0019,2023-04-28,Germany,Website
C0020,2023-03-29,Germany,Email Campaign
C0021,2023-08-09,Germany,Website
C0022,2022-07-13,Germany,Email Campaign
C0023,2021-04-09,Austria,Mobile App
C0024,2023-02-22,Germany,Website
C0025,2023-11-06,Germany,Website
C0026,2021-02-20,Germany,Website
C0027,2021-11-29,Germany,Website
C0028,2023-04-05,Germany,Email Campaign
C0029,2021-03-06,Germany,Mobile App
C0030,2021-04-11,Germany,Mobile App
C0031,2023-05-22,Germany,Website
C0032,2023-05-28,Germany,Website
C0033,2021-12-10,Germany,Website
C0034,2023-12-01,Germany,Website
C0035,2023-02-06,Germany,Website
C0036,2023-11-16,Germany,Website
C0037,2021-04-22,Germany,Website
C0038,2021-04-02,Germany,Mobile App
C0039,2022-07-30,Germany,Mobile App
C0040,2023-06-09,Germany,Mobile App
C0041,2023-01-31,Germany,Website
C0042,2022-08-12,Germany,Email Campaign
C0043,2021-10-17,Switzerland,Mobile App
C0044,2021-07-31,Austria,Email Campaign
C0045,2022-06-02,Switzerland,Website
C0046,2021-04-11,Switzerland,Website
C0047,2022-04-07,Switzerland,Website
C0048,2022-04-22,Austria,Mobile App
C0049,2023-10-26,Switzerland,Website
C0050,2023-07-11,Germany,Website
C0051,2023-02-16,Germany,Website
C0052,2023-04-23,Switzerland,Mobile App
C0053,2023-06-15,Germany,Website
C0054,2022-12-29,Germany,Mobile App
C0055,2021-10-06,Germany,Website
C0056,2021-03-07,Switzerland,Mobile App
C0057,2021-08-31,Germany,Mobile App
C0058,2021-07-09,Germany,Website
C0059,2022-05-01,Germany,Website
C0060,2022-02-08,Germany,Mobile App
C0061,2022-05-06,Germany,Mobile App
C0062,2021-03-28,Germany,Mobile App
C0063,2021-09-17,Switzerland,Email Campaign
C0064,2021-09-03,Germany,Website
C0065,2021-10-18,Germany,Email Campaign
C0066,2022-03-09,Germany,Website
C0067,2023-05-05,Germany,Mobile App
C0068,2021-11-26,Germany,Mobile App
C0069,2023-08-24,Germany,Email Campaign
C0070,2023-08-08,Switzerland,Website
C0071,2023-04-01,Germany,Mobile App
C0072,2023-03-16,Germany,Mobile App
C0073,2021-12-30,Germany,Mobile App
C0074,2021-01-10,Germany,Email Campaign
C0075,2021-10-22,Germany,Mobile App
C0076,2022-03-27,Germany,Website
C0077,2021-05-17,Germany,Email Campaign
C0078,2023-11-22,Germany,Website
C0079,2023-02-01,Austria,Website
C0080,2023-06-28,Austria,Website
C0081,2023-04-22,Germany,Website
C0082,2023-03-18,Germany,Mobile App
C0083,2022-06-15,Germany,Email Campaign
C0084,2022-06-28,Germany,Mobile App
C0085,2023-06-06,Germany,Website
C0086,2021-09-29,Switzerland,Mobile App
C0087,2023-07-09,Germany,Mobile App
C0088,2021-03-21,Germany,Email Campaign
C0089,2022-02-10,Germany,Website
C0090,2022-08-19,Germany,Website
C0091,2021-06-22,Switzerland,Website
C0092,2022-10-28,Austria,Mobile App
C0093,2023-05-19,Germany,Email Campaign
C0094,2022-03-14,Germany,Mobile App
C0095,2022-01-24,Germany,Mobile App
C0096,2021-07-06,Germany,Email Campaign
C0097,2021-02-10,Germany,Mobile App
C0098,2022-09-22,Germany,Website
C0099,2022-08-27,Germany,Website
C0100,2023-02-07,Germany,Website
C0101,2021-05-31,Germany,Website
C0102,2021-02-27,Germany,Mobile App
C0103,2023-05-24,Austria,Email Campaign
C0104,2023-07-16,Germany,Website
C0105,2022-12-13,Germany,Website
C0106,2021-07-27,Austria,Email Campaign
C0107,2021-07-20,Germany,Website
C0108,2023-05-07,Germany,Website
C0109,2021-12-04,Austria,Website
C0110,2021-10-10,Germany,Website
C0111,2021-09-28,Germany,Email Campaign
C0112,2021-07-06,Switzerland,Website
C0113,2023-10-14,Switzerland,Website
C0114,2022-04-29,Austria,Email Campaign
C0115,2021-06-11,Germany,Email Campaign
C0116,2023-10-22,Switzerland,Website
C0117,2021-09-28,Germany,Website
C0118,2022-06-06,Switzerland,Website
C0119,2021-12-15,Germany,Mobile App
C0120,2023-03-25,Austria,Mobile App
C0121,2023-02-11,Germany,Website
C0122,2021-02-26,Switzerland,Website
C0123,2021-12-29,Germany,Website
C0124,2022-06-26,Germany,Mobile App
C0125,2022-12-13,Germany,Website
C0126,2023-10-14,Austria,Email Campaign
C0127,2023-05-10,Switzerland,Mobile App
C0128,2021-07-01,Germany,Mobile App
C0129,2023-09-21,Austria,Website
C0130,2021-07-16,Germany,Website
C0131,2023-10-02,Germany,Mobile App
C0132,2021-11-28,Austria,Website
C0133,2022-05-12,Austria,Email Campaign
C0134,2023-06-28,Germany,Mobile App
C0135,2021-01-23,Germany,Email Campaign
C0136,2022-08-17,Switzerland,Mobile App
C0137,2023-09-29,Germany,Mobile App
C0138,2022-12-30,Germany,Email Campaign
C0139,2022-09-22,Germany,Website
C0140,2022-03-19,Germany,Mobile App
C0141,2023-06-08,Switzerland,Mobile App
C0142,2021-11-13,Germany,Website
C0143,2021-03-26,Germany,Website
C0144,2021-03-25,Austria,Mobile App
C0145,2021-10-08,Germany,Website
C0146,2021-04-30,Germany,Website
C0147,2022-12-23,Germany,Mobile App
C0148,2021-02-18,Germany,Website
C0149,2021-01-27,Germany,Mobile App
C0150,2022-06-11,Germany,Website
C0151,2021-11-14,Germany,Website
C0152,2022-08-20,Germany,Website
C0153,2023-09-03,Germany,Email Campaign
C0154,2022-07-09,Germany,Email Campaign
C0155,2023-10-12,Austria,Website
C0156,2022-10-07,Germany,Mobile App
C0157,2021-07-13,Germany,Email Campaign
C0158,2021-03-10,Germany,Mobile App
C0159,2022-03-18,Germany,Mobile App
C0160,2023-04-07,Germany,Website
C0161,2021-03-07,Switzerland,Email Campaign
C0162,2021-02-18,Germany,Website
C0163,2021-03-17,Austria,Mobile App
C0164,2022-11-14,Germany,Website
C0165,2023-08-22,Germany,Website
C0166,2021-11-14,Germany,Website
C0167,2022-06-29,Switzerland,Website
C0168,2021-01-25,Germany,Website
C0169,2021-07-20,Germany,Email Campaign
C0170,2023-05-20,Switzerland,Website
C0171,2023-09-18,Germany,Website
C0172,2021-05-01,Germany,Mobile App
C0173,2023-05-02,Germany,Mobile App
C0174,2022-05-30,Germany,Website
C0175,2023-04-12,Germany,Website
C0176,2022-06-23,Germany,Mobile App
C0177,2022-04-17,Germany,Website
C0178,2022-09-02,Austria,Website
C0179,2022-01-05,Germany,Mobile App
C0180,2023-11-19,Switzerland,Mobile App
C0181,2021-03-17,Germany,Mobile App
C0182,2022-11-16,Germany,Mobile App
C0183,2023-09-27,Germany,Mobile App
C0184,2023-10-02,Germany,Mobile App
C0185,2021-06-23,Germany,Website
C0186,2022-09-26,Germany,Website
C0187,2023-03-12,Germany,Website
C0188,2023-04-27,Germany,Website
C0189,2022-03-10,Germany,Mobile App
C0190,2021-04-24,Germany,Email Campaign
C0191,2022-05-24,Germany,Website
C0192,2023-05-02,Germany,Mobile App
C0193,2023-10-11,Germany,Email Campaign
C0194,2023-10-07,Germany,Website
C0195,2021-07-24,Germany,Website
C0196,2022-05-18,Switzerland,Mobile App
C0197,2022-07-29,Germany,Email Campaign
C0198,2023-01-27,Germany,Website
C0199,2023-06-09,Germany,Website
C0200,2022-08-27,Germany,Mobile App
C0201,2021-07-01,Austria,Website
C0202,2021-09-10,Germany,Mobile App
C0203,2022-09-30,Germany,Email Campaign
C0204,2022-10-06,Austria,Website
C0205,2023-04-21,Germany,Email Campaign
C0206,2023-01-22,Switzerland,Email Campaign
C0207,2021-11-29,Switzerland,Email Campaign
C0208,2021-01-05,Germany,Mobile App
C0209,2022-12-28,Germany,Website
C0210,2023-02-23,Germany,Email Campaign
C0211,2023-07-26,Germany,Website
C0212,2021-08-03,Germany,Website
C0213,2021-09-19,Germany,Mobile App
C0214,2022-08-14,Germany,Website
C0215,2023-10-30,Austria,Website
C0216,2021-08-22,Austria,Website
C0217,2021-11-25,Germany,Mobile App
C0218,2023-09-11,Germany,Website
C0219,2022-08-16,Germany,Website
C0220,2023-05-18,Germany,Website
C0221,2023-05-23,Austria,Website
C0222,2022-09-12,Germany,Website
C0223,2022-02-21,Germany,Website
C0224,2022-04-30,Austria,Website
C0225,2022-04-17,Germany,Website
C0226,2022-03-18,Germany,Mobile App
C0227,2022-05-10,Germany,Website
C0228,2022-10-13,Germany,Website
C0229,2021-02-17,Switzerland,Website
C0230,2023-03-28,Germany,Website
C0231,2021-10-05,Germany,Mobile App
C0232,2023-07-30,Germany,Email Campaign
C0233,2021-10-21,Germany,Website
C0234,2022-08-04,Germany,Mobile App
C0235,2023-01-08,Switzerland,Mobile App
C0236,2023-11-06,Austria,Website
C0237,2023-09-24,Austria,Mobile App
C0238,2021-08-29,Germany,Email Campaign
C0239,2022-03-22,Germany,Website
C0240,2023-10-22,Switzerland,Mobile App
C0241,2022-08-20,Austria,Email Campaign
C0242,2022-04-25,Germany,Mobile App
C0243,2021-09-20,Germany,Website
C0244,2021-01-12,Germany,Mobile App
C0245,2021-09-03,Germany,Email Campaign
C0246,2023-10-17,Austria,Mobile App
C0247,2021-07-19,Austria,Mobile App
C0248,2023-11-15,Switzerland,Website
C0249,2023-04-26,Germany,Website
C0250,2022-04-08,Germany,Website
C0251,2022-01-02,Germany,Mobile App
C0252,2021-04-20,Switzerland,Mobile App
C0253,2022-01-20,Germany,Email Campaign
C0254,2021-11-06,Germany,Email Campaign
C0255,2023-07-28,Germany,Website
C0256,2023-03-05,Austria,Website
C0257,2021-08-29,Germany,Website
C0258,2023-05-16,Germany,Email Campaign
C0259,2021-07-20,Germany,Mobile App
C0260,2022-09-24,Switzerland,Email Campaign
C0261,2022-12-27,Germany,Website
C0262,2023-03-29,Germany,Mobile App
C0263,2021-01-27,Germany,Mobile App
C0264,2021-12-19,Germany,Mobile App
C0265,2022-08-06,Austria,Website
C0266,2023-08-18,Germany,Mobile App
C0267,2021-03-05,Germany,Website
C0268,2021-01-07,Austria,Website
C0269,2023-04-20,Germany,Email Campaign
C0270,2022-03-03,Germany,Website
C0271,2022-05-21,Germany,Website
C0272,2023-05-16,Germany,Email Campaign
C0273,2022-12-12,Austria,Website
C0274,2021-11-15,Germany,Website
C0275,2021-10-10,Germany,Email Campaign
C0276,2022-08-23,Germany,Website
C0277,2023-04-20,Austria,Website
C0278,2023-04-13,Germany,Website
C0279,2021-07-25,Austria,Website
C0280,2022-03-09,Germany,Website
C0281,2021-05-16,Austria,Mobile App
C0282,2023-04-14,Germany,Website
C0283,2022-03-29,Germany,Website
C0284,2023-10-10,Germany,Website
C0285,2021-08-13,Germany,Email Campaign
C0286,2021-05-22,Germany,Email Campaign
C0287,2022-07-28,Germany,Mobile App
C0288,2021-06-14,Switzerland,Website
C0289,2022-02-21,Germany,Email Campaign
C0290,2023-09-25,Germany,Email Campaign
C0291,2023-01-26,Germany,Mobile App
C0292,2023-03-05,Switzerland,Website
C0293,2022-09-19,Switzerland,Website
C0294,2023-01-13,Germany,Website
C0295,2022-10-21,Germany,Website
C0296,2022-04-01,Germany,Website
C0297,2023-09-19,Austria,Website
C0298,2021-11-09,Germany,Website
C0299,2022-08-15,Germany,Mobile App
C0300,2023-09-23,Germany,Website
C0301,2021-06-21,Germany,Mobile App
C0302,2022-01-26,Germany,Website
C0303,2022-02-14,Germany,Website
C0304,2023-09-03,Switzerland,Website
C0305,2023-08-31,Germany,Email Campaign
C0306,2021-12-07,Germany,Website
C0307,2021-03-09,Germany,Website
C0308,2022-03-30,Germany,Mobile App
C0309,2022-12-19,Germany,Website
C0310,2021-03-05,Germany,Website
C0311,2021-03-27,Germany,Email Campaign
C0312,2023-02-01,Germany,Website
C0313,2021-04-21,Austria,Email Campaign
C0314,2023-05-14,Germany,Website
C0315,2023-07-27,Germany,Website
C0316,2022-12-12,Austria,Website
C0317,2022-05-08,Germany,Mobile App
C0318,2021-06-18,Austria,Website
C0319,2021-06-12,Germany,Mobile App
C0320,2022-12-04,Austria,Website
C0321,2022-03-14,Germany,Mobile App
C0322,2023-03-20,Switzerland,Website
C0323,2022-02-09,Germany,Website
C0324,2021-05-24,Germany,Website
C0325,2022-02-21,Switzerland,Mobile App
C0326,2023-10-16,Germany,Mobile App
C0327,2022-04-23,Switzerland,Website
C0328,2022-08-13,Switzerland,Mobile App
C0329,2021-07-09,Switzerland,Mobile App
C0330,2023-06-06,Austria,Mobile App
C0331,2023-11-02,Germany,Mobile App
C0332,2023-03-14,Germany,Website
C0333,2022-08-18,Germany,Website
C0334,2021-07-16,Austria,Website
C0335,2022-12-31,Switzerland,Website
C0336,2023-02-04,Austria,Mobile App
C0337,2021-05-24,Germany,Website
C0338,2023-11-21,Germany,Email Campaign
C0339,2022-01-12,Germany,Email Campaign
C0340,2021-04-03,Switzerland,Mobile App
C0341,2022-04-14,Germany,Website
C0342,2021-01-24,Germany,Mobile App
C0343,2021-02-18,Germany,Website
C0344,2023-07-16,Germany,Mobile App
C0345,2021-08-06,Germany,Mobile App
C0346,2023-05-13,Germany,Email Campaign
C0347,2021-07-09,Germany,Website
C0348,2022-08-05,Germany,Website
C0349,2022-05-07,Austria,Mobile App
C0350,2023-06-24,Austria,Email Campaign
C0351,2023-06-22,Austria,Website
C0352,2022-11-23,Germany,Email Campaign
C0353,2022-05-15,Germany,Website
C0354,2023-03-27,Germany,Website
C0355,2021-10-05,Switzerland,Mobile App
C0356,2022-02-14,Germany,Website
C0357,2023-10-16,Austria,Email Campaign
C0358,2021-03-02,Germany,Website
C0359,2021-07-28,Germany,Mobile App
C0360,2022-04-07,Switzerland,Website
C0361,2021-02-08,Germany,Website
C0362,2022-02-05,Germany,Mobile App
C0363,2023-11-03,Switzerland,Website
C0364,2022-10-03,Germany,Mobile App
C0365,2021-02-28,Austria,Email Campaign
C0366,2022-04-11,Austria,Website
C0367,2021-09-28,Germany,Website
C0368,2021-05-17,Germany,Email Campaign
C0369,2022-08-26,Germany,Mobile App
C0370,2022-05-05,Germany,Mobile App
C0371,2023-03-27,Germany,Mobile App
C0372,2021-07-16,Germany,Website
C0373,2021-09-13,Germany,Website
C0374,2022-08-30,Switzerland,Website
C0375,2023-01-29,Switzerland,Mobile App
C0376,2022-04-05,Switzerland,Website
C0377,2023-06-13,Switzerland,Website
C0378,2023-10-04,Germany,Website
C0379,2023-08-10,Germany,Mobile App
C0380,2021-05-11,Germany,Mobile App
C0381,2023-03-01,Germany,Mobile App
C0382,2023-01-05,Germany,Mobile App
C0383,2023-12-02,Germany,Mobile App
C0384,2022-04-16,Germany,Website
C0385,2022-01-06,Germany,Mobile App
C0386,2023-10-08,Germany,Mobile App
C0387,2023-05-13,Austria,Website
C0388,2022-08-30,Germany,Email Campaign
C0389,2022-12-21,Germany,Mobile App
C0390,2023-10-25,Switzerland,Mobile App
C0391,2022-07-27,Germany,Email Campaign
C0392,2023-08-09,Germany,Mobile App
C0393,2021-09-10,Germany,Mobile App
C0394,2022-11-03,Switzerland,Website
C0395,2021-12-03,Germany,Mobile App
C0396,2023-04-14,Germany,Mobile App
C0397,2021-04-27,Germany,Email Campaign
C0398,2023-07-10,Germany,Website
C0399,2022-04-05,Austria,Website
C0400,2022-06-18,Germany,Website
C0401,2021-08-28,Germany,Website
C0402,2021-07-10,Germany,Mobile App
C0403,2021-08-22,Germany,Mobile App
C0404,2021-01-25,Germany,Mobile App
C0405,2023-11-14,Germany,Website
C0406,2023-10-15,Austria,Website
C0407,2023-09-29,Germany,Website
C0408,2023-02-27,Austria,Email Campaign
C0409,2023-08-31,Germany,Mobile App
C0410,2021-03-28,Germany,Mobile App
C0411,2023-08-02,Germany,Mobile App
C0412,2022-06-22,Austria,Website
C0413,2021-06-17,Switzerland,Mobile App
C0414,2023-09-26,Germany,Website
C0415,2023-05-26,Germany,Email Campaign
C0416,2023-02-10,Germany,Website
C0417,2022-01-10,Germany,Website
C0418,2023-06-23,Switzerland,Email Campaign
C0419,2023-03-12,Switzerland,Mobile App
C0420,2023-10-18,Germany,Mobile App
C0421,2023-10-13,Germany,Website
C0422,2022-06-07,Germany,Website
C0423,2021-11-01,Germany,Website
C0424,2023-05-17,Germany,Website
C0425,2023-03-17,Germany,Email Campaign
C0426,2022-08-05,Austria,Mobile App
C0427,2022-05-27,Germany,Website
C0428,2021-05-15,Austria,Website
C0429,2022-07-05,Switzerland,Website
C0430,2023-11-14,Germany,Website
C0431,2023-11-30,Germany,Email Campaign
C0432,2022-10-22,Austria,Website
C0433,2021-11-17,Switzerland,Email Campaign
C0434,2023-06-07,Germany,Mobile App
C0435,2022-02-19,Switzerland,Mobile App
C0436,2022-05-15,Germany,Website
C0437,2021-07-21,Germany,Website
C0438,2023-04-30,Germany,Email Campaign
C0439,2023-02-19,Austria,Email Campaign
C0440,2021-06-23,Germany,Email Campaign
C0441,2023-11-26,Austria,Email Campaign
C0442,2022-07-03,Germany,Website
C0443,2021-01-27,Switzerland,Website
C0444,2021-10-15,Germany,Website
C0445,2023-11-11,Germany,Mobile App
C0446,2023-03-31,Germany,Website
C0447,2021-10-31,Germany,Website
C0448,2022-05-04,Germany,Mobile App
C0449,2023-11-27,Germany,Email Campaign
C0450,2023-04-01,Germany,Mobile App
C0451,2021-11-28,Germany,Website
C0452,2021-11-03,Germany,Website
C0453,2023-01-30,Austria,Email Campaign
C0454,2023-03-31,Germany,Mobile App
C0455,2022-03-17,Germany,Website
C0456,2022-01-28,Germany,Mobile App
C0457,2021-03-27,Germany,Website
C0458,2023-01-31,Switzerland,Email Campaign
C0459,2023-07-22,Germany,Email Campaign
C0460,2022-05-31,Germany,Website
C0461,2022-04-09,Germany,Website
C0462,2022-08-29,Germany,Website
C0463,2021-05-31,Germany,Mobile App
C0464,2021-05-10,Germany,Website
C0465,2023-06-06,Switzerland,Email Campaign
C0466,2022-02-08,Germany,Website
C0467,2023-02-17,Germany,Mobile App
C0468,2021-02-14,Germany,Website
C0469,2023-11-09,Switzerland,Website
C0470,2021-01-04,Switzerland,Website
C0471,2021-03-22,Austria,Website
C0472,2023-01-18,Germany,Website
C0473,2022-05-14,Germany,Mobile App
C0474,2021-08-09,Germany,Mobile App
C0475,2023-07-13,Germany,Mobile App
C0476,2021-08-13,Germany,Mobile App
C0477,2022-10-06,Germany,Website
C0478,2022-03-01,Austria,Mobile App
C0479,2022-01-18,Germany,Mobile App
C0480,2022-01-05,Switzerland,Mobile App
C0481,2021-02-13,Germany,Website
C0482,2021-02-08,Austria,Website
C0483,2022-05-09,Austria,Email Campaign
C0484,2021-06-22,Germany,Mobile App
C0485,2022-07-19,Switzerland,Email Campaign
C0486,2023-09-26,Germany,Website
C0487,2022-06-16,Switzerland,Website
C0488,2023-01-13,Germany,Website
C0489,2023-03-09,Germany,Website
C0490,2021-02-27,Germany,Mobile App
C0491,2023-10-06,Germany,Website
C0492,2022-11-28,Austria,Website
C0493,2021-08-02,Switzerland,Website
C0494,2022-06-14,Switzerland,Mobile App
C0495,2023-11-30,Germany,Website
C0496,2022-07-29,Germany,Mobile App
C0497,2023-01-15,Germany,Mobile App
C0498,2022-08-15,Germany,Website
C0499,2022-02-03,Germany,Email Campaign
C0500,2022-07-06,Switzerland,Mobile App
C0501,2021-01-28,Germany,Website
C0502,2021-07-30,Germany,Website
C0503,2023-03-05,Switzerland,Mobile App
C0504,2023-03-30,Austria,Email Campaign
C0505,2021-10-12,Germany,Mobile App
C0506,2021-11-28,Germany,Website
C0507,2022-05-14,Austria,Website
C0508,2023-04-24,Germany,Website
C0509,2023-05-27,Germany,Mobile App
