order_id,customer_id,order_date,category,product,quantity,unit_price,discount_pct,total_amount,status
O000001,C0001,2023-11-23,Beauty,Face Cream,4,39.99,20,127.97,Delivered
O000002,C0001,2023-03-22,Food & Drink,Olive Oil,3,16.99,20,40.78,Delivered
O000003,C0001,2023-08-29,Toys,Board Game,4,34.99,0,139.96,Delivered
O000004,C0001,2023-08-11,Clothing,Jeans,2,59.99,15,101.98,Delivered
O000005,C0001,2022-12-26,Home & Garden,Lamp,5,69.99,10,314.95,Delivered
O000006,C0001,2023-07-05,Food & Drink,Protein Bar,2,2.99,15,5.08,Delivered
O000007,C0001,2023-03-02,Books,Novel,5,12.99,0,64.95,Delivered
O000008,C0001,2022-12-09,Electronics,Headphones,3,149.99,20,359.98,Delivered
O000009,C0001,2023-07-18,Beauty,Perfume,5,79.99,0,399.95,Delivered
O000010,C0002,2023-06-02,Books,Data Science Guide,4,44.99,5,170.96,Delivered
O000011,C0002,2023-12-24,Sports,Water Bottle,5,19.99,0,99.95,Delivered
O000012,C0002,2023-08-05,Food & Drink,Olive Oil,4,16.99,20,54.37,Delivered
O000013,C0002,2023-06-05,Electronics,Webcam,2,79.99,0,159.98,Delivered
O000014,C0002,2023-06-03,Toys,Puzzle,5,19.99,15,84.96,Delivered
O000015,C0002,2023-03-25,Sports,Dumbbells,4,59.99,0,239.96,Delivered
O000016,C0002,2023-11-28,Home & Garden,Cushion,4,34.99,10,125.96,Delivered
O000017,C0003,2023-06-28,Clothing,Sneakers,3,79.99,20,191.98,Delivered
O000018,C0004,2023-07-31,Clothing,Jeans,4,59.99,0,239.96,Delivered
O000019,C0004,2022-10-19,Clothing,Jeans,2,59.99,0,119.98,Delivered
O000020,C0004,2022-09-21,Sports,Dumbbells,5,59.99,0,299.95,Returned
O000021,C0004,2023-01-26,Electronics,Headphones,4,149.99,20,479.97,Delivered
O000022,C0004,2023-10-04,Home & Garden,Cushion,3,34.99,5,99.72,Delivered
O000023,C0004,2022-10-28,Beauty,Face Cream,2,39.99,0,79.98,Delivered
O000024,C0005,2022-10-12,Beauty,Face Cream,2,39.99,15,67.98,Delivered
O000025,C0005,2022-03-11,Books,Cookbook,2,24.99,5,47.48,Delivered
O000026,C0005,2021-12-18,Books,Travel Guide,1,16.99,10,15.29,Delivered
O000027,C0005,2022-05-28,Food & Drink,Nuts Mix,5,12.99,5,61.7,Delivered
O000028,C0005,2022-01-30,Toys,Art Kit,3,24.99,20,59.98,Delivered
O000029,C0005,2022-04-16,Electronics,USB Hub,5,29.99,0,149.95,Delivered
O000030,C0005,2021-07-08,Beauty,Perfume,5,79.99,0,399.95,Delivered
O000031,C0006,2023-12-13,Food & Drink,Coffee Beans,2,19.99,20,31.98,Delivered
O000032,C0006,2023-12-18,Books,Python Cookbook,1,34.99,0,34.99,Delivered
O000033,C0006,2023-12-23,Books,Novel,4,12.99,20,41.57,Delivered
O000034,C0006,2023-12-18,Toys,Art Kit,1,24.99,0,24.99,Delivered
O000035,C0006,2023-11-29,Food & Drink,Coffee Beans,5,19.99,0,99.95,Delivered
O000036,C0006,2023-11-19,Beauty,Serum,1,54.99,0,54.99,Delivered
O000037,C0007,2023-06-26,Toys,Board Game,4,34.99,0,139.96,Delivered
O000038,C0007,2023-07-15,Books,Cookbook,1,24.99,0,24.99,Returned
O000039,C0007,2023-07-13,Beauty,Face Cream,4,39.99,20,127.97,Delivered
O000040,C0007,2023-04-15,Sports,Dumbbells,1,59.99,0,59.99,Delivered
O000041,C0008,2022-11-04,Home & Garden,Cushion,1,34.99,0,34.99,Delivered
O000042,C0008,2021-02-12,Books,Travel Guide,1,16.99,15,14.44,Delivered
O000043,C0008,2021-06-04,Books,Data Science Guide,5,44.99,15,191.21,Delivered
O000044,C0008,2023-10-01,Books,Python Cookbook,1,34.99,15,29.74,Delivered
O000045,C0008,2022-06-23,Electronics,Webcam,1,79.99,0,79.99,Delivered
O000046,C0008,2023-05-27,Food & Drink,Olive Oil,1,16.99,0,16.99,Delivered
