customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
C0001,39,9,1555.6,5,3,5,13,Loyal Customers
C0002,8,7,936.14,5,2,5,12,Potential Loyalist
C0003,187,1,191.98,3,1,2,6,Hibernating
C0004,89,5,1019.61,4,2,5,11,Potential Loyalist
C0005,446,7,802.33,1,2,4,7,Lost
C0006,9,6,288.47,5,2,2,9,Potential Loyalist
C0007,172,3,327.92,3,1,2,6,Hibernating
C0008,13,7,407.35,5,2,3,10,Potential Loyalist
C0009,34,5,416.63,5,2,3,10,Potential Loyalist
C0010,198,1,509.97,3,1,3,7,Hibernating
C0011,169,1,99.96,3,1,1,5,Hibernating
C0012,89,5,1007.81,4,2,5,11,Potential Loyalist
C0013,175,1,152.98,3,1,1,5,Hibernating
C0014,53,9,532.42,5,3,3,11,Loyal Customers
C0015,95,1,119.96,4,1,1,6,Potential Loyalist
C0016,199,1,303.96,3,1,2,6,Hibernating
C0017,13,9,843.57,5,3,4,12,Loyal Customers
C0018,37,8,1233.45,5,3,5,13,Loyal Customers
C0019,162,2,87.45,3,1,1,5,Hibernating
C0020,105,2,449.94,4,1,3,8,Potential Loyalist
C0021,39,1,44.98,5,1,1,7,Potential Loyalist
C0022,53,10,1470.17,5,3,5,13,Loyal Customers
C0023,93,3,203.93,4,1,2,7,Potential Loyalist
C0025,5,7,748.37,5,2,4,11,Potential Loyalist
C0026,964,1,118.98,1,1,1,3,Lost
C0027,35,10,2106.86,5,3,5,13,Loyal Customers
C0028,139,1,109.98,4,1,1,6,Potential Loyalist
C0029,71,5,357.33,5,2,2,9,Potential Loyalist
C0031,6,4,566.92,5,1,3,9,Potential Loyalist
C0032,93,5,606.86,4,2,4,10,Potential Loyalist
C0033,313,1,49.95,2,1,1,4,Lost
C0034,23,1,399.95,5,1,3,9,Potential Loyalist
C0035,50,1,359.96,5,1,2,8,Potential Loyalist
C0036,9,5,324.91,5,2,2,9,Potential Loyalist
C0037,651,2,69.98,1,1,1,3,Lost
C0038,634,3,270.48,1,1,2,4,Lost
C0039,448,1,44.17,1,1,1,3,Lost
C0040,202,1,299.98,3,1,2,6,Hibernating
C0041,18,6,657.58,5,2,4,11,Potential Loyalist
C0042,173,5,304.89,3,2,2,7,Hibernating
C0043,309,1,39.98,2,1,1,4,Lost
C0044,50,2,201.96,5,1,2,8,Potential Loyalist
C0045,114,7,659.0,4,2,4,10,Potential Loyalist
C0046,8,7,564.59,5,2,3,10,Potential Loyalist
C0047,54,6,1021.35,5,2,5,12,Potential Loyalist
C0048,153,10,833.42,4,3,4,11,Loyal Customers
C0049,8,3,438.44,5,1,3,9,Potential Loyalist
C0050,10,8,834.78,5,3,4,12,Loyal Customers
C0051,150,2,313.95,4,1,2,7,Potential Loyalist
C0052,200,1,132.98,3,1,1,5,Hibernating
C0053,4,7,592.05,5,2,3,10,Potential Loyalist
C0054,346,1,37.02,2,1,1,4,Lost
C0055,108,1,271.97,4,1,2,7,Potential Loyalist
C0056,83,6,1113.06,4,2,5,11,Potential Loyalist
C0057,158,2,204.96,3,1,2,6,Hibernating
C0058,4,8,943.28,5,3,5,13,Loyal Customers
C0059,100,4,100.12,4,1,1,6,Potential Loyalist
C0060,56,4,428.89,5,1,3,9,Potential Loyalist
C0061,197,1,49.49,3,1,1,5,Hibernating
C0062,73,9,587.75,4,3,3,10,Loyal Customers
C0063,174,2,150.93,3,1,1,5,Hibernating
C0064,88,5,372.89,4,2,3,9,Potential Loyalist
C0065,131,4,887.38,4,1,5,10,Potential Loyalist
C0066,110,8,630.51,4,3,4,11,Loyal Customers
C0067,2,8,931.51,5,3,5,13,Loyal Customers
C0069,2,1,127.47,5,1,1,7,Potential Loyalist
C0070,74,1,48.42,4,1,1,6,Potential Loyalist
C0071,1,7,534.95,5,2,3,10,Potential Loyalist
C0072,102,6,523.39,4,2,3,9,Potential Loyalist
C0073,55,9,828.81,5,3,4,12,Loyal Customers
C0074,440,7,760.79,2,2,4,8,Lost
C0075,50,11,597.65,5,4,3,12,Loyal Customers
